100BlockAddress
RAINIER AVE S / S WALDEN ST
16XX BLOCK OF S WELLER ST
98XX BLOCK OF ARROWSMITH AVE S
20XX BLOCK OF NW MARKET ST
SW HUDSON ST / CALIFORNIA AVE SW
16XX BLOCK OF E LYNN ST
117XX BLOCK OF 15TH AVE NE
S MASSACHUSETTS ST / 13TH AVE S
16XX BLOCK OF 18TH AVE
52XX BLOCK OF S DAWSON ST
20XX BLOCK OF RAINIER AVE S
42XX BLOCK OF UNIVERSITY WAY NE
39XX BLOCK OF 15TH AVE S
94XX BLOCK OF 18TH AVE SW
5XX BLOCK OF BOYLSTON AVE E
18XX BLOCK OF N 45TH ST
SWIFT AVE S / COVELLO DR S
M L KING JR WAY S / S OTHELLO ST
42XX BLOCK OF 7TH AVE NE
64XX BLOCK OF 12TH AVE NE
5XX BLOCK OF NE NORTHGATE WAY
4XX BLOCK OF N 92ND ST
1XX BLOCK OF ETRURIA ST
3XX BLOCK OF 4TH AVE S
4XX BLOCK OF 23RD AVE S
16XX BLOCK OF E OLIVE WAY
3XX BLOCK OF W OLYMPIC PL
8XX BLOCK OF NE 80TH ST
23XX BLOCK OF 19TH AVE S
8XX BLOCK OF E DENNY WAY
9XX BLOCK OF 12TH AVE
44XX BLOCK OF 44TH AVE SW
36XX BLOCK OF NE 42ND ST
9XX BLOCK OF N 95TH ST
18XX BLOCK OF 7TH AVE W
88XX BLOCK OF 18TH AVE SW
15XX BLOCK OF 8TH AVE W
29XX BLOCK OF 2ND AVE
14XX BLOCK OF N 45TH ST
15XX BLOCK OF MELROSE AVE
14XX BLOCK OF S COLUMBIAN WAY
7XX BLOCK OF E PINE ST
47XX BLOCK OF BALLARD AVE NW
39XX BLOCK OF 1ST AVE NE
3XX BLOCK OF W ROY ST
1XX BLOCK OF MCGRAW PL
88XX BLOCK OF MIDVALE AVE N
8XX BLOCK OF NE 67TH ST
EAGLE ST / 2ND AVE
52XX BLOCK OF 40TH AVE W
SW CAMBRIDGE ST / DELRIDGE WAY SW
1ST AVE NW / N 59TH ST
75XX BLOCK OF 16TH AVE NW
44XX BLOCK OF 23RD AVE SW
WESTERN AVE / UNION ST
65XX BLOCK OF 34TH AVE NE
47XX BLOCK OF UNIVERSITY WAY NE
8XX BLOCK OF VIRGINIA ST
9XX BLOCK OF E JOHN ST
43XX BLOCK OF UNIVERSITY WAY NE
1XX BLOCK OF NE 125TH ST
4XX BLOCK OF 12TH AVE
12XX BLOCK OF N 137TH ST
35XX BLOCK OF S JUNEAU ST
92XX BLOCK OF 17TH AVE SW
9XX BLOCK OF NW LEARY WAY
38XX BLOCK OF RAINIER AVE S
70XX BLOCK OF 20TH PL NE
65XX BLOCK OF BEACH DR SW
14XX BLOCK OF 6TH AVE
26XX BLOCK OF NE UNIVERSITY VILLAGE ST
7XX BLOCK OF BROADWAY
29XX BLOCK OF S HOLLY ST
14XX BLOCK OF 3RD AVE
25XX BLOCK OF SW BARTON ST
ALASKAN WAY S / S KING ST
51XX BLOCK OF S OTHELLO ST
63XX BLOCK OF 39TH AVE S
44XX BLOCK OF 4TH AVE S
4XX BLOCK OF PINE ST
34XX BLOCK OF 22ND AVE W
8XX BLOCK OF NE 106TH ST
47XX BLOCK OF 42ND AVE SW
26XX BLOCK OF W MARINA PL
S JUNEAU ST / RAINIER AVE S
16XX BLOCK OF BROADWAY
2XX BLOCK OF BROADWAY E
N 34TH ST / PHINNEY AVE N
15XX BLOCK OF 7TH AVE
25XX BLOCK OF 13TH AVE S
5XX BLOCK OF MADISON ST
16XX BLOCK OF TAYLOR AVE N
92XX BLOCK OF 16TH AVE SW
S BAYVIEW ST / 31ST AVE S
32XX BLOCK OF 21ST AVE W
12XX BLOCK OF SUMMIT AVE
138XX BLOCK OF 4TH AVE NE
75XX BLOCK OF 15TH AVE NW
22XX BLOCK OF E THOMAS ST
15XX BLOCK OF TAYLOR AVE N
36XX BLOCK OF SW SNOQUALMIE ST
115XX BLOCK OF PINEHURST WAY NE
NW 36TH ST / 1ST AVE NW
18XX BLOCK OF 40TH AVE E
65XX BLOCK OF 31ST AVE NE
23XX BLOCK OF 1ST AVE
2XX BLOCK OF 2ND AVE N
86XX BLOCK OF 9TH AVE SW
S BAILEY ST / CORSON AVE S
SHILSHOLE AVE NW / 22ND AVE NW
82XX BLOCK OF 35TH AVE SW
VIRGINIA ST / 3RD AVE
ROOSEVELT WAY NE / NE 47TH ST
8XX BLOCK OF LENORA ST
13XX BLOCK OF 24TH AVE S
3XX BLOCK OF HARRISON ST
36XX BLOCK OF NE 73RD PL
39XX BLOCK OF W HOOKER ST
3XX BLOCK OF UNION ST
105XX BLOCK OF PHINNEY AVE N
32XX BLOCK OF 34TH AVE S
6XX BLOCK OF N 34TH ST
50XX BLOCK OF 11TH AVE NE
59XX BLOCK OF 37TH AVE S
4XX BLOCK OF TERRY AVE N
E ALLISON ST / EASTLAKE AVE E
56XX BLOCK OF 39TH AVE W
14XX BLOCK OF BROADWAY
92XX BLOCK OF 8TH AVE SW
36XX BLOCK OF 33RD AVE S
25XX BLOCK OF E YESLER WAY
84XX BLOCK OF RAINIER PL S
2XX BLOCK OF PONTIUS AVE N
10XX BLOCK OF NE 95TH ST
55XX BLOCK OF S CLOVERDALE ST
65XX BLOCK OF 48TH AVE S
15XX BLOCK OF ELLIOTT AVE W
FRANKLIN AVE E / E GALER ST
E JEFFERSON ST / 12TH AVE
E PINE ST / BELLEVUE AVE
28XX BLOCK OF 4TH AVE W
NW 39TH ST / 1ST AVE NW
NW MARKET ST / 3RD AVE NW
13XX BLOCK OF 2ND AVE
4XX BLOCK OF WALL ST
38XX BLOCK OF BRIDGE WAY N
6XX BLOCK OF W OLYMPIC PL
33XX BLOCK OF YORK RD S
1XX BLOCK OF OCCIDENTAL AVE S
4XX BLOCK OF NW 65TH ST
12XX BLOCK OF E JEFFERSON ST
18TH AVE S / S JUNEAU ST
PINE ST / 4TH AVE
7XX BLOCK OF NOB HILL AVE N
26XX BLOCK OF SW ANDOVER ST
3RD AVE / BELL ST
2ND AVE / PINE ST
E YESLER WAY / 12TH AVE
45XX BLOCK OF S WILLOW ST
63XX BLOCK OF LINDEN AVE N
21XX BLOCK OF 1ST AVE
9XX BLOCK OF E PINE ST
34XX BLOCK OF 42ND AVE SW
10XX BLOCK OF REPUBLICAN ST
45XX BLOCK OF 8TH AVE NE
40XX BLOCK OF LEARY WAY NW
8XX BLOCK OF HIAWATHA PL S
29XX BLOCK OF 20TH AVE S
11XX BLOCK OF FAIRVIEW AVE N
29XX BLOCK OF W GROVER ST
143XX BLOCK OF DAYTON AVE N
33XX BLOCK OF W GOVERNMENT WAY
7XX BLOCK OF 10TH AVE S
1XX BLOCK OF NW 85TH ST
2XX BLOCK OF 23RD AVE E
5XX BLOCK OF E PINE ST
43XX BLOCK OF 12TH AVE NE
52XX BLOCK OF S MAYFLOWER ST
BLANCHARD ST / 2ND AVE
6XX BLOCK OF S ORCAS ST
24TH AVE NW / NW 65TH ST
SHILSHOLE AVE NW / 20TH AVE NW
20XX BLOCK OF S MAIN ST
31XX BLOCK OF RAINIER AVE S
13XX BLOCK OF NE 45TH ST
6XX BLOCK OF S DEARBORN ST
N 46TH ST / PHINNEY AVE N
47XX BLOCK OF BROOKLYN AVE NE
NW 49TH ST / 9TH AVE NW
9XX BLOCK OF 7TH AVE
BOYLSTON AVE / SPRING ST
3XX BLOCK OF 1ST AVE N
7XX BLOCK OF N 62ND ST
SHILSHOLE AVE NW / NW VERNON PL
8XX BLOCK OF 20TH AVE
86XX BLOCK OF 28TH AVE NW
99XX BLOCK OF 34TH AVE SW
26XX BLOCK OF NE 49TH ST
NE 115TH ST / 36TH AVE NE
3XX BLOCK OF NE NORTHGATE WAY
74XX BLOCK OF SAND POINT WAY NE
90XX BLOCK OF 16TH AVE SW
41XX BLOCK OF 11TH AVE NE
40XX BLOCK OF ROOSEVELT WAY NE
7XX BLOCK OF N 78TH ST
TAYLOR AVE N / GALER ST
FAUNTLEROY WAY SW / HOLLY PL SW
44XX BLOCK OF 29TH AVE W
11XX BLOCK OF N 77TH ST
5XX BLOCK OF BROADWAY E
11XX BLOCK OF HARVARD AVE
S JACKSON ST / 8TH AVE S
13XX BLOCK OF WESTERN AVE
81XX BLOCK OF 15TH AVE SW
1XX BLOCK OF 23RD AVE S
1XX BLOCK OF W MERCER ST
SW OREGON ST / CALIFORNIA AVE SW
MADISON ST / ALASKAN WAY
97XX BLOCK OF 32ND AVE SW
22XX BLOCK OF E FIR ST
90XX BLOCK OF 8TH AVE S
33XX BLOCK OF CHEASTY BLVD S
39XX BLOCK OF S OTHELLO ST
PIKE ST / 5TH AVE
75XX BLOCK OF 41ST AVE NE
6XX BLOCK OF N 35TH ST
SUMMIT AVE E / BELMONT AVE E
60XX BLOCK OF MARTIN LUTHER KING JR WAY S
1XX BLOCK OF 6TH AVE S
9XX BLOCK OF E HARRISON ST
3RD AVE / LENORA ST
15XX BLOCK OF CALIFORNIA AVE SW
2ND AVE S / S FONTANELLE ST
40XX BLOCK OF 26TH AVE SW
70XX BLOCK OF 15TH AVE NW
SUMMIT AVE / UNIVERSITY ST
5XX BLOCK OF S JACKSON ST
12XX BLOCK OF S JACKSON ST
90XX BLOCK OF 18TH AVE SW
2XX BLOCK OF W MERCER ST
2XX BLOCK OF PINE ST
23XX BLOCK OF 38TH AVE E
75XX BLOCK OF AURORA AVE N
10XX BLOCK OF S JACKSON ST
VIRGINIA ST / 2ND AVE
71XX BLOCK OF WOODSIDE PL SW
N 54TH ST / WALLINGFORD AVE N
1XX BLOCK OF JAMES ST
41XX BLOCK OF ASHWORTH AVE N
28XX BLOCK OF 3RD AVE
60XX BLOCK OF 35TH AVE SW
16TH AVE E / E MERCER ST
3XX BLOCK OF BROADWAY E
17XX BLOCK OF N 38TH ST
120XX BLOCK OF PALATINE AVE N
7XX BLOCK OF N 73RD ST
63XX BLOCK OF 35TH AVE SW
4XX BLOCK OF HARVARD AVE E
12XX BLOCK OF THOMAS ST
3XX BLOCK OF NICKERSON ST
11XX BLOCK OF S ATLANTIC ST
46XX BLOCK OF S FRONTENAC ST
4XX BLOCK OF WHEELER ST
23XX BLOCK OF RAINIER AVE S
59XX BLOCK OF 4TH AVE S
26XX BLOCK OF S HOLLY ST
19XX BLOCK OF 2ND AVE
9XX BLOCK OF 15TH AVE
3XX BLOCK OF NE 45TH ST
UNION ST / 2ND AVE
68XX BLOCK OF E GREEN LAKE WAY N
PINE ST / 2ND AVE
8XX BLOCK OF 1ST AVE N
79XX BLOCK OF GREEN LAKE DR N
25XX BLOCK OF FRANKLIN AVE E
19XX BLOCK OF WESTLAKE AVE N
42XX BLOCK OF 12TH AVE NE
53XX BLOCK OF WILSON AVE S
1XX BLOCK OF 30TH AVE E
1ST AVE NE / N 117TH ST
73XX BLOCK OF ROOSEVELT WAY NE
1XX BLOCK OF UNIVERSITY ST
11XX BLOCK OF MARTIN LUTHER KING JR WAY
PIKE ST / 4TH AVE
83XX BLOCK OF STONE AVE N
GREENWOOD AVE N / N 134TH ST
41XX BLOCK OF 55TH AVE SW
8XX BLOCK OF 9TH AVE
86XX BLOCK OF BEACON AVE S
2XX BLOCK OF S HOLDEN ST
41XX BLOCK OF 42ND AVE NE
3RD AVE S / S WALKER ST
9XX BLOCK OF 26TH AVE
50XX BLOCK OF CALIFORNIA AVE SW
85XX BLOCK OF INTERLAKE AVE N
11XX BLOCK OF SUMMIT AVE
DEXTER AVE N / GARFIELD ST
96XX BLOCK OF 59TH AVE S
4XX BLOCK OF 4TH AVE
1XX BLOCK OF 19TH AVE
135XX BLOCK OF AURORA AVE N
1ST AVE / MADISON ST
17XX BLOCK OF NW 56TH ST
1XX BLOCK OF 11TH AVE
55TH AVE S / S OTHELLO ST
5XX BLOCK OF 5TH AVE
33XX BLOCK OF E UNION ST
7XX BLOCK OF S KING ST
32XX BLOCK OF SW MORGAN ST
2XX BLOCK OF VIRGINIA ST
17XX BLOCK OF NW 57TH ST
9XX BLOCK OF 18TH AVE E
133XX BLOCK OF 3RD AVE NE
80XX BLOCK OF MERIDIAN AVE N
8XX BLOCK OF NW 50TH ST
80XX BLOCK OF CORLISS AVE N
16XX BLOCK OF 42ND AVE SW
7XX BLOCK OF NW 62ND ST
59XX BLOCK OF 31ST AVE SW
12TH AVE S / S WELLER ST
67XX BLOCK OF 21ST AVE SW
22XX BLOCK OF 8TH AVE
9XX BLOCK OF LENORA ST
28XX BLOCK OF SW ADAMS ST
47XX BLOCK OF SW OTHELLO ST
32XX BLOCK OF 26TH AVE W
1ST AVE / BELL ST
58XX BLOCK OF 16TH AVE S
5XX BLOCK OF S KING ST
18XX BLOCK OF BOREN AVE
MADISON ST / 1ST AVE
21XX BLOCK OF N 36TH ST
1XX BLOCK OF S ATLANTIC ST
5XX BLOCK OF N 105TH ST
17XX BLOCK OF TAYLOR AVE N
63XX BLOCK OF BEACON AVE S
50XX BLOCK OF 9TH AVE NE
54XX BLOCK OF SAND POINT WAY NE
28XX BLOCK OF NW 59TH ST
N 130TH ST / AURORA AVE N
26XX BLOCK OF 22ND AVE E
9XX BLOCK OF 12TH AVE E
1XX BLOCK OF MELROSE AVE E
80XX BLOCK OF CREST DR NE
S KING ST / 2ND AVE S
115XX BLOCK OF 3RD AVE NW
21XX BLOCK OF WESTLAKE AVE
WALLINGFORD AVE N / N 46TH ST
3XX BLOCK OF NW 89TH ST
8TH AVE / PIKE ST
35XX BLOCK OF S OREGON ST
2XX BLOCK OF YALE AVE N
39XX BLOCK OF S EDMUNDS ST
1XX BLOCK OF VALLEY ST
95XX BLOCK OF EVANSTON AVE N
W FLORENTIA ST / 3RD AVE W
1XX BLOCK OF S WASHINGTON ST
11XX BLOCK OF 2ND AVE
N 90TH ST / GREENWOOD AVE N
15XX BLOCK OF 4TH AVE S
7XX BLOCK OF OLIVE WAY
22XX BLOCK OF 3RD AVE
87XX BLOCK OF 15TH AVE NW
5XX BLOCK OF 9TH AVE
30XX BLOCK OF S IRVING ST
NW 54TH ST / 15TH AVE NW
21XX BLOCK OF 6TH AVE N
53XX BLOCK OF SW MANNING ST
59XX BLOCK OF W GREEN LAKE WAY N
16XX BLOCK OF 5TH AVE
42XX BLOCK OF SW JUNEAU ST
