RecordId,ListingId,OffenseId
1,2318,13436562682
2,2318,13438296726
3,2318,13437662491
4,2318,13465786074
5,9419,13478922558
6,9531,13469332709
7,9531,13469304944
8,9531,13489611830
9,9531,13487931134
10,9531,13477923643
11,9531,13477924956
12,9531,13477915796
13,9534,13469332709
14,9534,13469304944
15,9534,13477753473
16,9534,13489611830
17,9534,13487931134
18,9534,13469839924
19,9534,13477923643
20,9534,13477924956
21,9534,13477915796
22,9596,13440286071
23,9596,13466018846
24,9596,13478704744
25,9596,13498724205
26,9909,13465373660
27,9909,13465367879
28,9909,13431038687
29,11012,13440286071
30,11012,13466018846
31,11012,13478704744
32,14386,13437684501
33,14386,13435943094
34,14386,13438152581
35,14386,13455475083
36,14386,13438133764
37,15108,13437684501
38,15108,13435943094
39,15108,13438152581
40,15108,13455475083
41,15108,13438133764
42,17951,13469332709
43,17951,13469304944
44,17951,13489611830
45,17951,13487931134
46,17951,13477923643
47,17951,13477924956
48,17951,13477915796
49,19619,13437162682
50,19619,13460363071
51,19619,13438046551
52,19619,13448930690
53,19619,13440319474
54,19619,13440303263
55,19619,13469646602
56,19619,13467915459
57,19619,13470439534
58,19619,13489311467
59,19619,13486020962
60,19619,13479606112
61,19619,13478848833
62,19619,13478828741
63,19619,13478822099
64,19619,13478204634
65,19619,13477866215
66,19619,13477072140
67,19619,13493188486
68,19619,13519388115
69,19619,13478886574
70,19619,13499706481
71,19619,13499423456
72,19619,13469712041
73,19619,13466917209
74,19619,13465007105
75,19619,13491057310
76,19619,13490682157
77,20927,13456042245
78,20927,13499581261
79,20927,13478167950
80,20928,13456042245
81,20928,13441961636
82,20928,13499581261
83,20928,13478167950
84,24212,13437162682
85,24212,13460363071
86,24212,13438046551
87,24212,13448930690
88,24212,13440319474
89,24212,13440303263
90,24212,13469646602
91,24212,13467915459
92,24212,13470439534
93,24212,13489311467
94,24212,13486020962
95,24212,13479606112
96,24212,13478848833
97,24212,13478828741
98,24212,13478822099
99,24212,13478204634
100,24212,13477866215
101,24212,13477072140
102,24212,13493188486
103,24212,13519388115
104,24212,13478886574
105,24212,13499706481
106,24212,13499423456
107,24212,13469712041
108,24212,13466917209
109,24212,13465007105
110,24212,13491057310
111,24212,13490682157
112,25002,13465325155
113,25002,13464114450
114,25002,13465476007
115,26116,13437381964
116,26116,13437543951
117,26116,13427980576
118,26116,13460299839
119,26116,13458095245
120,26116,13447556177
121,26116,13439800650
122,26116,13457186959
123,26116,13457122145
124,26116,13437695817
125,26116,13465497742
126,26116,13452457288
127,26116,13440197833
128,26116,13465384494
129,26116,13470867572
130,26116,13469928666
131,26116,13469900776
132,26116,13469409274
133,26116,13484811193
134,26116,13480529919
135,26116,13477218101
136,26116,13499718132
137,26116,13499428371
138,26116,13478704972
139,26116,13499941829
140,26116,13499255398
141,26116,13499857117
142,26116,13499840649
143,26116,13478263176
144,26116,13440127079
145,26116,13440325060
146,26116,13478355658
147,26116,13478934427
148,26116,13470529035
149,30712,13442140832
150,30712,13465333272
151,37234,13465315850
152,37234,13448031452
153,41401,13438177386
154,41401,13438110312
155,41401,13465444408
156,43373,13457462404
157,48848,13438141857
158,48848,13440152476
159,48848,13469360344
160,63733,13439852125
161,63733,13442161802
162,67270,13458736077
163,67270,13499670034
164,68508,13439966308
165,68508,13469323608
166,68508,13440417523
167,68508,13465320555
168,68508,13470153765
169,68508,13469657921
170,68508,13499523505
171,68508,13469464656
172,68508,13440034156
173,77149,13438021308
174,77149,13438090167
175,77149,13437998303
176,77149,13469275505
177,77149,13465942192
178,77149,13450933178
179,77149,13445328237
180,77149,13464884448
181,77149,13448918366
182,77149,13470470372
183,77149,13470468622
184,77149,13448831468
185,77149,13477983045
186,80655,13465344474
187,84271,13448629072
188,84271,13477838049
189,84271,13470148283
190,84271,13499227921
191,84271,13438048748
192,86185,13465379295
193,116221,13418384582
194,116221,13465245436
195,116221,13449081522
196,116221,13469415409
197,116221,13469767418
198,116221,13466428751
199,117165,13465852082
200,117165,13469468315
201,119103,13418384582
202,119103,13465436054
203,119103,13462334653
204,119103,13438171668
205,119103,13470125804
206,119103,13499670341
207,132120,13439021750
208,132120,13440169551
209,132120,13470174620
210,132160,13465154761
211,132160,13469933670
212,132160,13469695086
213,132160,13469476476
214,136480,13448889020
215,136480,13440352374
216,136480,13465996530
217,136480,13465527068
218,136480,13469286731
219,136480,13469968126
220,138666,13438132129
221,138666,13438075423
222,140331,13484368119
223,140331,13477931047
224,140331,13448942964
225,143580,13440092739
226,143580,13469829970
227,143580,13471185462
228,143704,13436562682
229,143704,13437662491
230,143704,13462010387
231,143704,13499882706
232,143704,13499828366
233,151545,13435634132
234,151545,13433968478
235,151545,13438784685
236,151545,13438055317
237,151545,13469824733
238,151545,13477778320
239,151545,13470118196
240,151545,13470206007
241,170273,13438219782
242,170273,13469289736
243,170273,13440144330
244,170273,13469835039
245,170273,13470649243
246,170273,13470041181
247,170273,13457970611
248,170273,13465781697
249,202251,13464892400
250,202251,13470102237
251,202251,13470137427
252,202251,13490399975
253,202251,13440876718
254,202251,13499638144
255,202260,13458929342
256,210316,13550250018
257,215882,13469285245
258,215882,13470133822
259,215882,13478125975
260,215882,13499670034
261,215882,13499103529
262,215882,13498833942
263,215882,13477712394
264,215882,13498824793
265,217142,13437162682
266,217142,13460363071
267,217142,13438046551
268,217142,13448930690
269,217142,13440319474
270,217142,13440303263
271,217142,13469646602
272,217142,13467915459
273,217142,13470439534
274,217142,13489311467
275,217142,13486020962
276,217142,13479606112
277,217142,13478848833
278,217142,13478828741
279,217142,13478822099
280,217142,13478204634
281,217142,13477866215
282,217142,13477072140
283,217142,13498604770
284,217142,13493188486
285,217142,13519388115
286,217142,13478886574
287,217142,13499706481
288,217142,13499423456
289,217142,13469712041
290,217142,13466917209
291,217142,13465007105
292,217142,13491057310
293,217142,13490682157
294,218741,13436291516
295,218741,13439976453
296,218741,13465563390
297,218741,13465333272
298,219532,13465245436
299,219532,13449081522
300,219532,13440308355
301,219532,13469415409
302,219532,13469767418
303,224763,13437162682
304,224763,13438046551
305,224763,13448930690
306,224763,13440346961
307,224763,13440319474
308,224763,13469646602
309,224763,13467915459
310,224763,13470439534
311,224763,13486020962
312,224763,13479606112
313,224763,13478848833
314,224763,13478828741
315,224763,13478822099
316,224763,13478204634
317,224763,13477866215
318,224763,13477072140
319,224763,13493188486
320,224763,13519388115
321,224763,13478886574
322,224763,13499706481
323,224763,13499423456
324,224763,13466917209
325,224763,13465007105
326,224763,13491057310
327,224763,13490682157
328,226495,13462523617
329,226495,13469819740
330,226495,13465280364
331,226677,13478317341
332,226677,13478922558
333,231097,13447711689
334,231097,13469351392
335,231097,13482954677
336,231097,13483102512
337,231097,13482172629
338,233502,13465373660
339,233502,13465367879
340,233502,13469400609
341,241016,13445322330
342,241016,13465378203
343,241016,13465871444
344,241016,13464867782
345,241016,13470695421
346,241032,13438212016
347,241032,13465292759
348,241032,13478538293
349,241032,13478348328
350,251922,13465379295
351,251922,13469993671
352,254340,13440876718
353,260613,13437719174
354,260613,13462523617
355,260613,13469819740
356,260613,13465280364
357,270370,13438243082
358,271509,13437162682
359,271509,13460363071
360,271509,13438046551
361,271509,13448930690
362,271509,13440319474
363,271509,13440303263
364,271509,13469646602
365,271509,13467915459
366,271509,13470439534
367,271509,13489311467
368,271509,13486020962
369,271509,13479606112
370,271509,13478848833
371,271509,13478828741
372,271509,13478822099
373,271509,13478204634
374,271509,13477866215
375,271509,13477072140
376,271509,13493188486
377,271509,13519388115
378,271509,13478886574
379,271509,13499706481
380,271509,13499423456
381,271509,13469712041
382,271509,13466917209
383,271509,13465007105
384,271509,13491057310
385,271509,13490682157
386,277416,13437162682
387,277416,13460363071
388,277416,13438046551
389,277416,13448930690
390,277416,13440319474
391,277416,13440303263
392,277416,13469646602
393,277416,13467915459
394,277416,13470439534
395,277416,13486020962
396,277416,13479606112
397,277416,13478848833
398,277416,13478828741
399,277416,13478822099
400,277416,13478204634
401,277416,13477866215
402,277416,13477072140
403,277416,13498604770
404,277416,13493188486
405,277416,13519388115
406,277416,13478886574
407,277416,13499706481
408,277416,13499423456
409,277416,13469712041
410,277416,13466917209
411,277416,13465007105
412,277416,13491057310
413,277416,13490682157
414,278830,13478538293
415,281789,13438021308
416,281789,13427980576
417,281789,13460299839
418,281789,13446594548
419,281789,13439800650
420,281789,13438090167
421,281789,13457186959
422,281789,13457122145
423,281789,13437695817
424,281789,13469578052
425,281789,13465942192
426,281789,13465497742
427,281789,13440197833
428,281789,13465354095
429,281789,13464566651
430,281789,13469912094
431,281789,13469886438
432,281789,13469409274
433,281789,13484811193
434,281789,13480529919
435,281789,13478382512
436,281789,13470470372
437,281789,13448831468
438,281789,13483919544
439,281789,13483606749
440,281789,13499255398
441,281789,13499857117
442,281789,13470765279
443,281789,13440270058
444,281789,14550976175
445,282934,13465245436
446,282934,13449081522
447,282934,13469415409
448,282934,13469767418
449,282934,13466428751
450,284087,13436871595
451,284087,13430845267
452,284087,13429610034
453,284087,13447556177
454,284087,13440385537
455,284087,13438201956
456,284087,13437751695
457,284087,13468888147
458,284087,13447866232
